date,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,relative_humidity,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,wind_direction,wind_speed
2018-09-16,0.37340296957330565,25.90373075716792,16.87250685427165,101345.5831756456,7.731253684936462,32.9049978008632,93878.94664588901,0.0,-0.765037496265441,0.967807083340065,-36.09642230048622,1.290197183325457
2018-09-17,1.4944654320354402,26.223165865473902,17.253594581194193,101340.74776222545,8.063954663977313,35.03887604917217,93898.67105177726,0.0,-0.4874934384255992,0.6833848719711509,-33.95757875181298,0.8863617243592565
2018-09-18,4.368349425309418,26.506406845314757,17.982946364283123,101283.04552769741,9.45926214202865,40.68636123310914,93841.934687129,0.0,-0.26265299369316497,0.5297868513731901,-20.517936398321243,0.6528556015838392
2018-09-19,0.9719338031791267,28.507302299356923,18.607065177140782,101114.56880750968,9.399135003750928,31.164034229964162,93698.64133691379,1.862645149230957e-09,0.316565979435779,-0.38439665680807056,90.60600516499278,0.5802141430866301
2018-09-20,-4.056487002645838,31.903674495761663,21.13405446488207,101050.81881214754,12.732364401586722,18.38844086116524,93666.08216690783,4.0978193283081055e-08,-0.197136281425856,-1.6908965179424114,-15.956443087578565,1.9019516990595962
2018-09-21,-0.3699651956486605,31.354722035861812,20.84590651392415,101272.18691330885,10.72743921412956,24.523011805981714,93895.97760138394,0.0,-0.5306661531227427,0.14489200246871006,-79.93302282376352,0.5672977695420396
2018-09-22,0.5829839908536201,29.941038174854327,21.658451062885035,101368.02718722174,13.732960123915404,24.759440612431696,93971.70264961787,0.0,-1.0623841337720308,1.143614876514445,-40.07667161689346,1.657725600750944
2018-09-23,1.2645456904579078,29.33477575042275,22.302988762429607,101133.90864778125,14.529932972202346,24.98742957109481,93739.01423827546,0.0,-0.7631022325960456,1.1411314523734903,-34.06121729810293,1.557890280807661
2018-09-24,-0.18361645746944077,31.425548225781085,20.89507626550221,101074.28309819309,12.020696092097864,24.759201145306676,93687.62548929578,1.862645149230957e-09,-0.35031451828474813,-0.8556030438026997,-82.92283740961027,1.0184216918321667
2018-09-25,-5.2915048736816175,33.287215413846354,22.90433588206298,101217.28208713642,14.927203004995022,14.952507788636552,93842.15453398635,4.470348358154297e-08,-0.8559547740093641,-1.6568745243227352,-84.77407507732217,2.062880982276017
2018-09-26,-3.2850630468343525,33.9755698607421,22.33693099436624,101446.18879396707,11.979339528954313,18.024714057535657,94076.55921174682,4.284083843231201e-08,-0.8125738895463109,-0.8360652453903278,-133.53357141610923,1.182733136427045
2018-09-27,-0.9861414306132588,34.10125507050162,22.384364242304684,101313.99860168078,12.0578852168033,21.551143762684266,93973.38209594839,0.0,-0.47280417894239635,-0.2750862591802349,-99.55660458941591,0.6139224121335152
2018-09-28,1.9946022402820063,33.36005484902853,21.93373896620625,100944.85583862051,12.73647898455772,27.40805006256882,93615.25496716386,0.0,-0.6203685767592575,0.5495248010946545,-42.25685481147303,0.9177872547503554
2018-09-29,6.9240496034472585,28.766991471890492,18.861433203661363,100905.57640202955,13.894541813846729,45.86474774103058,93484.12803548905,8.894222365284789e-06,-1.4280742496897822,3.2227564615253605,-22.11092784941305,3.5753624524079903
2018-09-30,9.747605001484203,23.792183121194114,17.20890391149669,101199.51405276047,13.246352838712767,61.71548178751,93710.20692110049,0.0007959046597631512,-0.32529947262961706,2.2763372263380455,-8.392254414055325,2.3610502735302745
2018-10-01,7.235037647223635,23.66661760845966,18.971348017859384,101104.18494684997,15.53649617186926,46.57182694849887,93658.73529561814,2.5960225329957478e-05,-0.5631361908151369,0.9005597291758098,-33.51874511248834,1.1080544711787987
2018-10-02,10.352606340670548,25.231913332034765,18.671231206824416,100948.19099927653,14.870756581941464,58.71422713679224,93526.71335151381,0.0026663967003809777,0.2674636313706663,-0.33611453412795644,37.054936917343845,0.7550558963206747
2018-10-03,12.00541243786705,24.79484298764936,18.42146414227153,101088.26320171048,14.245869195337491,66.50794489704249,93650.44960949096,0.0073244176707160024,-0.4715027698567517,0.4557349397100091,-43.57998385623294,0.7145094717574001
2018-10-04,13.306083465875133,19.139700370827143,15.95063072197803,101294.11335893442,14.168617030681958,84.73368582079085,93787.80023050238,0.01828221395627244,-1.2031066477554169,2.3173799625169145,-24.008283045347802,2.800818980880234
2018-10-05,10.129638483461349,21.015540469297946,15.192653577424778,101679.58521399157,10.483344342850899,72.09047168106187,94149.66825745771,0.0002531862076019173,-0.21900980778726287,-0.2737986345820485,-105.58675057708675,0.40608856154321216
2018-10-06,7.729533468208615,22.860917457496896,15.882684289938538,101360.81107617248,9.568338805300925,58.85172359053396,93862.10814132534,0.00013654782282258754,0.4213579354653482,-1.667007323435203,148.4407963055298,1.7390248350658606
2018-10-07,1.6216488565030431,24.532470867987,16.753444402824414,101301.56975131718,10.823096177782588,36.45278012777071,93804.71993265807,4.470348358154297e-08,-0.3383087153939333,-3.1747957551893338,-18.130378732101267,3.559463030119817
2018-10-08,1.2124830916856695,27.193245151029544,17.424698063484414,101090.02171684848,10.188824894068091,34.1637890565261,93649.83193733305,4.284083843231201e-08,-0.7772006143639726,-2.4302285657363543,-64.04035047521663,2.798653769375403
2018-10-09,7.233105401718319,26.063364892983998,17.993989433906904,100823.27150582519,11.161398088065198,49.82324838076998,93406.34715883796,0.0,-0.2697844770160618,-0.5906298054179299,-96.88176084506918,0.776523600006746
2018-10-10,3.571231643436761,23.80368724267055,16.46449762323425,100770.58494499481,10.416576592254955,42.95887291950297,93336.75242792744,4.5524938289119225e-06,-0.5902860072643477,-0.5435628243529897,-86.37663391390078,0.951969354612103
2018-10-11,3.7259574856169024,23.465187688268827,15.922501893919673,100907.57585012246,10.122553368894273,45.15067509638954,93454.98707656204,4.809994430774113e-06,-0.0849971605805389,-0.6615080318241454,-44.81048274352207,0.7313013384884144
2018-10-12,-1.0690651001084461,27.01635784942914,16.774835359070153,101216.84483526272,8.709958031581664,29.967159574413202,93753.34104611904,0.0,-1.1680193526892044,-2.437913415728496,-86.4222702942492,3.02143786168524
2018-10-13,-2.795573358713966,27.97538068617945,16.920179650252123,100972.46203667633,7.480826692476512,26.200877974697644,93571.98598898044,0.0,-1.0086265753044612,-1.6075032678404844,-95.96207251546736,1.9862064776205264
2018-10-14,-5.697122818314654,27.580079585205965,17.357984581458027,101314.77150814411,11.468528280600765,20.61053390021652,93835.68957081108,1.862645149230957e-09,-2.1861032465023333,-2.8397126738839003,-75.38289452305025,3.9113403005767484
2018-10-15,-10.83104206740802,26.137186253208938,15.762871182159586,102056.24542937447,8.276758663984879,15.417670778274557,94489.61579149972,4.284083843231201e-08,-2.070819812629159,-2.879612821009719,-78.5601936128989,3.8754842185973386
2018-10-16,-10.17745357342443,27.49045846225181,16.253807162530904,101925.77581441084,7.431689134271153,15.621811412931692,94426.39169866803,0.0,-1.6656013484496897,-2.262589010544084,-92.19710112660395,3.0246937454351874
2018-10-17,-6.024377175090706,26.81252387961996,16.15622331591527,101795.99114629714,7.1730338817041,21.509532555843162,94319.16595011504,0.0,-1.3026717555526461,-1.1778550294500745,-134.12904708808682,1.7767734138997047
2018-10-18,-0.29711801557800754,25.078219770260034,14.835592043552083,101862.9338314411,7.018382254578228,35.86282365440048,94384.86468304766,0.0,-0.4503468232786101,-0.2663992342458135,-119.97489181229655,0.5777826019298785
2018-10-19,-0.7377730023368372,28.471931330249845,15.73605287981593,101928.59935950952,6.883471868101196,32.71690461807983,94469.69980428171,0.0,-0.8218074161465356,-0.8869124754763529,-136.81381021807417,1.2306640044931583
2018-10-20,-2.4099025419465647,27.773899323623993,16.881280363586256,101658.19509915778,8.197858024726315,26.822806907562814,94225.40718221285,4.284083843231201e-08,-1.3530262345268453,-1.0144014392047016,-126.59570456018477,1.7025768546982003
2018-10-21,1.8866332409962183,25.510478437360916,15.526547984901526,101419.73615130603,7.289166718118167,39.97116209981785,93980.64692555284,0.0,-0.5244509365103319,-0.25623300461041615,-113.27048826524351,0.6076456887725202
2018-10-22,0.40111565707388763,24.661366157384577,15.1497291861603,101279.96921378748,6.172923433253459,36.93362365258271,93844.61849538068,0.0,-0.459024595401343,-0.26698760607557115,-106.2474120017726,0.6268578131071887
2018-10-23,0.9183776275734772,23.731605683324233,14.287154686673944,101385.04856550536,6.678909299040356,40.374995788746475,93920.06122458447,0.0,-0.9150697119018735,0.5800118184286044,-54.39229621840722,1.1649281401758078
2018-10-24,1.594476725985146,22.085358809179354,13.122733285824154,101581.52960355447,5.783660129582245,45.67793635421706,94093.32926823614,6.224872181167162e-06,-0.33596495603595206,0.048749772973334306,-67.71374780977453,0.47855675725628805
2018-10-25,1.8998800982563466,26.675812439707727,15.144601834468006,101816.06314698355,7.630912268512134,41.097353785542126,94329.1169022707,4.470348358154297e-08,-0.3781828223010804,-0.9261228743134498,-98.26082215684352,1.057128912337257
2018-10-26,3.714028609092736,26.54586502306188,16.580091044017536,101857.2854055358,8.169825097409898,42.54604637059745,94393.12689457188,4.470348358154297e-08,-0.238405296078649,-0.46793473221784043,-125.1269213044785,0.5753890267250266
2018-10-27,5.25767602872412,25.366333743350538,17.024632397700145,101717.56428094393,9.4469866477761,46.008983567562595,94257.10527743767,4.284083843231201e-08,-0.5115026458467582,0.36928267284683747,-49.54628559619489,0.7818151411148392
